,second,x_move,y_move,z_move,heart_rate,step_count,psg_status
0,1020.0,0.940781,0.093765,-0.77356,53.0,49.12,0.0
1,1021.0,0.44912872549019606,-0.21879782352941182,-0.7594697843137254,53.0,155.96803921568633,0.0
2,1022.0,0.21654328000000003,-0.22760861999999998,-0.8249631,53.0,267.0900000000001,0.0
3,1023.0,0.3245767599999999,0.05097328000000001,-1.02677884,53.0,267.0900000000001,0.0
4,1024.0,0.11833498039215691,-0.2897670784313725,-0.8476304313725489,59.470588235294116,267.0900000000001,0.0
5,1025.0,0.6505410784313727,-0.4582007843137256,-0.663295411764706,63.64705882352941,267.0900000000001,0.0
6,1026.0,0.46739162,-0.06883816000000001,-0.8130287999999999,64.0,267.0900000000001,0.0
7,1027.0,-0.22269472000000007,0.004645379999999988,-0.8988223399999999,64.0,267.0900000000001,0.0
8,1028.0,-0.10727812000000002,-0.15526612,-1.02329078,64.0,267.0900000000001,0.0
9,1029.0,0.19060153999999996,-0.4577331399999999,-0.84392786,64.0,267.0900000000001,0.0
10,1030.0,0.489374137254902,-0.22989041176470582,-0.8155044509803925,64.0,267.0900000000001,0.0
11,1031.0,0.005666119999999989,-0.70385474,-0.6678273999999998,64.0,267.0900000000001,0.0
12,1032.0,0.11185242000000004,-0.6703333,-0.63490906,64.0,267.0900000000001,0.0
13,1033.0,-0.05284150000000004,-0.6220195999999999,-0.6304513199999999,64.0,267.0900000000001,0.0
14,1034.0,0.002045900000000005,-0.043755140000000095,-0.8505297999999998,64.0,267.0900000000001,0.0
15,1035.0,0.057149823529411774,0.37992590196078435,-0.9415100784313725,64.0,267.0900000000001,0.0
16,1036.0,-0.11997119607843136,0.6179130980392156,-0.6847618823529413,64.0,214.41843137254892,0.0
17,1037.0,0.28432954000000005,0.75748896,-0.41741727999999995,64.0,159.6400000000001,0.0
18,1038.0,0.07393047916666666,0.21329018749999995,-0.93977325,64.0,159.6400000000001,0.0
19,1039.0,0.20155805769230772,-0.1445796730769231,-0.9559780576923077,64.0,159.64000000000013,0.0
20,1040.0,0.27930086000000004,-0.11722352000000004,-0.9563266399999999,64.0,159.6400000000001,0.0
21,1041.0,0.21617430000000007,-0.22453551999999996,-0.9468124799999997,64.0,159.6400000000001,0.0
22,1042.0,0.19174676,-0.1840936400000001,-0.9550414799999998,64.0,159.6400000000001,0.0
23,1043.0,-0.09869475999999999,-0.17802252,-0.9348828200000001,64.0,159.6400000000001,0.0
24,1044.0,0.006479199999999998,0.06691403999999997,-0.9239099400000002,64.0,159.6400000000001,0.0
25,1045.0,0.38146078431372543,0.04694643137254906,-0.8846737058823531,68.52941176470588,159.6400000000001,0.0
26,1046.0,0.1292380392156863,-0.08128327450980392,-0.9818872549019608,71.0,159.6400000000001,0.0
27,1047.0,-0.05684662,-0.24152279999999993,-0.95417204,71.0,159.6400000000001,0.0
28,1048.0,-0.041194940000000006,-0.14786017999999998,-0.9858046999999999,71.0,159.6400000000001,0.0
29,1049.0,0.11777588000000003,-0.014719260000000012,-0.9984038399999998,71.0,159.6400000000001,0.0
30,1050.0,0.058168274509803906,0.7311876862745099,-0.5614973529411762,71.0,159.6400000000001,0.0
31,1051.0,-0.08151917307692307,0.5554202500000001,-0.706946173076923,71.0,125.69288461538446,0.0
32,1052.0,-0.2950048799999999,0.12449756000000005,-0.9074375,71.0,89.03000000000007,0.0
33,1053.0,0.33740602000000003,-0.15057159999999997,-0.9280834999999997,71.0,89.03000000000007,0.0
34,1054.0,0.34642524,-0.29193572,-0.8421640399999998,71.0,89.03000000000007,0.0
35,1055.0,0.3119913725490195,-0.036793999999999986,-0.9503212941176471,79.41176470588235,89.03000000000007,0.0
36,1056.0,0.4154009800000001,0.00326912,-0.9097051399999999,84.0,89.03000000000007,0.0
37,1057.0,0.4157473599999999,-0.08121764000000001,-0.90032318,84.0,89.03000000000007,0.0
38,1058.0,0.3875433,-0.14518740000000005,-0.91323544,84.0,89.03000000000007,0.0
39,1059.0,0.36960829411764706,-0.1597415882352941,-0.9169320784313723,84.0,89.03000000000007,0.0
40,1060.0,0.38573762,-0.1513467,-0.9126351799999999,84.0,89.03000000000007,0.0
41,1061.0,0.38539122,-0.15312318000000003,-0.9118694799999999,84.0,89.03000000000007,0.0
42,1062.0,0.37554814000000003,-0.15500518000000002,-0.9156726199999998,84.0,89.03000000000007,0.0
43,1063.0,0.37377894,-0.15584966000000003,-0.9164907799999998,84.0,89.03000000000007,0.0
44,1064.0,0.3837939,-0.15483734,-0.9122735599999998,84.0,89.03000000000007,0.0
45,1065.0,0.3738727200000001,-0.15710201999999998,-0.91614226,84.0,89.03000000000007,0.0
46,1066.0,0.3687814423076923,-0.15862980769230767,-0.9180793076923075,85.96153846153847,98.94846153846161,0.0
47,1067.0,0.3753510000000001,-0.1579894901960784,-0.9154566470588233,87.6470588235294,110.52000000000011,0.0
48,1068.0,0.3868825599999999,-0.15671748000000002,-0.9133003799999999,88.0,110.52000000000011,0.0
49,1069.0,0.31597955999999994,-0.006974799999999988,-0.9330560200000001,88.0,110.52000000000011,0.0
50,1070.0,0.22403072,-0.38645813999999995,-0.8154809600000001,88.0,110.52000000000011,0.0
51,1071.0,0.2575189,-0.38565459999999996,-0.8735345200000002,88.0,110.52000000000011,0.0
52,1072.0,0.2613019215686275,-0.5533106274509805,-0.8194959607843139,86.05882352941177,110.52000000000011,0.0
53,1073.0,0.23305638,-0.27399167999999996,-0.9015288599999998,85.0,110.52000000000011,0.0
54,1074.0,0.40727109999999994,-0.28077366,-0.8623224199999997,85.0,110.52000000000011,0.0
55,1075.0,0.4182428,-0.29826846000000007,-0.8617853,85.0,110.52000000000011,0.0
56,1076.0,0.40660739999999984,-0.27072332000000005,-0.8727154799999998,85.0,110.52000000000011,0.0
57,1077.0,0.39750554901960766,-0.2693912549019608,-0.8797508627450981,84.3529411764706,110.52000000000011,0.0
