second,x_move,y_move,z_move,heart_rate,steps,psg_status
15,-0.615782123,0.191822509,-0.670061614,0.99043,58.33,0
16,-0.846461879,-0.188730397,-0.514499,0.990559,62.83037,0
17,-0.849913947,-0.213189123,-0.460628105,0.990356,67.33074,0
18,-0.854110719,-0.146542246,-0.479943316,0.989836,71.83111,0
19,-0.861444772,-0.13250093,-0.473711807,0.989014,76.33148,0
20,-0.855798825,-0.176353035,-0.465793474,0.987903,80.83185,0
21,-0.854682754,-0.173541719,-0.469447298,0.986828,85.33222,0
22,-0.859291439,-0.156615649,-0.468603333,0.985781,89.83259,0
23,-0.858309776,-0.154205069,-0.470742552,0.984758,94.33296,0
24,-0.857017386,-0.152326649,-0.472679474,0.984581,98.83333,0
25,-0.857463912,-0.151192333,-0.472591246,0.985261,103.3337,0
26,-0.857920431,-0.151640517,-0.472277362,0.986806,107.83407,0
27,-0.838507053,-0.139965351,-0.473895456,0.989228,112.33444,0
28,0.233384228,0.61739707,-0.220384825,0.992534,116.83481,0
29,1.001950158,0.140055579,-0.131774614,0.996734,121.33518,0
30,0.834024544,0.215752632,-0.368032386,1.001838,125.83555,0
31,-0.131037741,0.934012586,-0.126090207,1.00303,117.547148,0
32,-0.802337596,0.496581509,-0.287780246,1.000255,109.160095,0
33,-0.74697714,0.354499737,-0.245946018,0.99346,100.773042,0
34,-0.533641722,-0.79365113,0.325266481,0.985825,92.385989,0
35,-0.221755017,-0.69284055,-0.23383355,0.977358,83.998936,0
36,-0.570503793,-0.09904319,-0.804351534,0.967309,75.611882,0
37,-0.406263351,0.078169772,-0.880881895,0.955703,67.224829,0
38,-0.373282236,0.115044873,-0.910367655,0.942563,58.837776,0
39,-0.349734019,0.104904132,-0.919390094,0.927916,50.450723,0
40,-0.346051667,0.106632719,-0.930108825,0.911786,42.063669,0
41,-0.357432123,0.110039439,-0.919877684,0.89572,33.676616,0
42,-0.357654172,0.113108672,-0.919343638,0.879714,25.289563,0
43,-0.36215793,0.119414246,-0.916918491,0.863763,16.90251,0
44,-0.363464877,0.121659439,-0.915924386,0.847863,8.515457,0
45,-0.361468052,0.123411638,-0.916694931,0.832007,0.128403,0
46,-0.361036789,0.122596368,-0.916782368,0.815813,0,0
47,-0.361975404,0.122801982,-0.916517772,0.799282,0,0
48,-0.361102667,0.12489907,-0.916915404,0.782418,0,0
49,-0.361458175,0.124040579,-0.91661686,0.765223,0,0
50,-0.362753316,0.123947509,-0.915945754,0.747701,0,0
51,-0.361765526,0.126165912,-0.916005228,0.729856,0,0
52,-0.361226241,0.125752638,-0.915948224,0.71169,0,0
53,-0.362940456,0.124919246,-0.915643772,0.693206,0,0
54,-0.362751702,0.126010386,-0.915835965,0.674409,0,0
55,-0.361275138,0.127677931,-0.91594881,0.655301,0,0
56,-0.362157667,0.126664912,-0.915817509,0.635887,0,0
57,-0.364121579,0.126192088,-0.914745702,0.616169,0,0
58,-0.363220439,0.127490368,-0.915230228,0.596152,0,0
59,-0.362320456,0.128126316,-0.91541414,0.575839,0,0
60,-0.361391724,0.127907983,-0.915563397,0.555233,0,0
61,-0.363401158,0.126270298,-0.914987421,0.534339,0,0
62,-0.364880737,0.123870333,-0.915102,0.51316,0,0
63,-0.365249579,0.125779281,-0.915075719,0.492089,0,0
64,-0.363759579,0.129069614,-0.915421632,0.471136,0,0
65,-0.362710397,0.129496121,-0.91576781,0.450313,0,0
66,-0.363551123,0.129063228,-0.915624211,0.429631,0,0
67,-0.364515877,0.127955474,-0.914768368,0.409483,0,0
68,-0.364410105,0.12754986,-0.914902351,0.389483,0,0
69,-0.363245414,0.130588534,-0.91443981,0.36963,0,0
70,-0.362777088,0.130698246,-0.914678737,0.349918,0,0
71,-0.364038842,0.129993386,-0.914622754,0.330345,0,0
72,-0.365718807,0.127750123,-0.913873456,0.310146,0,0
73,-0.366008789,0.129133614,-0.91372093,0.289332,0,0
74,-0.364739175,0.132128509,-0.913400456,0.267916,0,0
75,-0.363499552,0.132429483,-0.914248776,0.245908,0,0
76,-0.364272246,0.130459456,-0.913915789,0.22332,0,0
77,-0.366072544,0.128094649,-0.914000702,0.200862,0,0
78,-0.366428259,0.129066586,-0.913743121,0.178531,0,0
79,-0.364907228,0.132598105,-0.914222842,0.156326,0,0
80,-0.364019772,0.133121667,-0.914843123,0.134244,0,0
81,-0.364408193,0.131918351,-0.914708193,0.112284,0,0
82,-0.365620456,0.131059175,-0.914195298,0.090055,0,0
83,-0.365018596,0.131962579,-0.914058211,0.067231,0,0
84,-0.363391534,0.134033897,-0.914516845,0.043808,0,0
85,-0.362889333,0.133879018,-0.914712789,0.019784,0,0
86,-0.363439702,0.133458895,-0.914041912,-0.004845,0,0
87,-0.36473993,0.132626439,-0.913548263,-0.029209,0,0
88,-0.364481138,0.133563586,-0.913292466,-0.053293,0,0
89,-0.363493456,0.135100719,-0.914300246,-0.077086,0,0
90,-0.363530947,0.134353842,-0.913841386,-0.100571,0,0
91,-0.364825105,0.133821684,-0.913124702,-0.124221,0,0
92,-0.366069966,0.131722603,-0.912869414,-0.148032,0,0
93,-0.366428105,0.132773684,-0.912577053,-0.171998,0,0
94,-0.365493544,0.136658316,-0.912945421,-0.196116,0,0
95,-0.364726491,0.136441947,-0.913496614,-0.220382,0,0
96,-0.365456825,0.135077982,-0.912644228,-0.244789,0,0
97,-0.366168053,0.134619965,-0.913182298,-0.267045,0,0
98,-0.365776759,0.134922897,-0.913334569,-0.289077,0,0
99,-0.36747286,0.134587281,-0.912459281,-0.310873,0,0
100,-0.367746158,0.137777123,-0.912168825,-0.332422,0,0
101,-0.367141914,0.138043362,-0.912134397,-0.353712,0,0
102,-0.365936526,0.142280667,-0.912747895,-0.374731,0,0
103,-0.367500175,0.141888263,-0.910988228,-0.395467,0,0
104,-0.366965579,0.144134491,-0.910566368,-0.415909,0,0
105,-0.366180103,0.14596269,-0.911204345,-0.436046,0,0
106,-0.366837614,0.144693684,-0.91047293,-0.455866,0,0
107,-0.368475404,0.144212351,-0.910124105,-0.475357,0,0
108,-0.368927035,0.144391263,-0.910022105,-0.494507,0,0
109,-0.368038754,0.146351281,-0.910357842,-0.513306,0,0
110,-0.368055877,0.145681807,-0.910096474,-0.531742,0,0
111,-0.368222431,0.146107931,-0.910062862,-0.549803,0,0
112,-0.36727014,0.146868789,-0.910326526,-0.567479,0,0
113,-0.367849018,0.146205684,-0.910266053,-0.584757,0,0
