second,x_move,y_move,z_move,heart_rate,steps,psg_status
480,-0.35340582456140357,0.05776335087719298,-0.9274616140350878,0.210732,78.539089,0.0
481,-0.3526566034482758,0.05615975862068965,-0.9264202931034484,0.235666,78.577641,0.0
482,-0.3544941052631579,0.0565229298245614,-0.9255425263157894,0.260404,76.941155,0.0
483,-0.3457464736842105,-0.01788943859649123,-0.9278040000000001,0.284944,75.304669,0.0
484,-0.35447322807017545,-0.03554468421052631,-0.9272193684210526,0.30928,73.668184,0.0
485,-0.35218092982456145,-0.08975459649122806,-0.9154499298245613,0.333408,72.031698,0.0
486,-0.25749448275862075,-0.49466893103448273,-0.8110670172413793,0.357323,70.395212,0.0
487,-0.27946687719298247,-0.5577344736842105,-0.768163,0.380717,68.758726,0.0
488,-0.2622964385964912,-0.5454631228070175,-0.7806121403508771,0.40359,67.122241,0.0
489,-0.2378452931034483,-0.5312794310344827,-0.8053375344827588,0.425945,65.485755,0.0
490,-0.22826154385964914,-0.5168938421052631,-0.813818649122807,0.447783,63.849269,0.0
491,-0.2480969649122807,-0.45698182456140346,-0.8529607192982456,0.469107,62.212783,0.0
492,-0.5946095614035087,-0.259937298245614,-0.6365544736842106,0.490004,60.576298,0.0
493,-0.6657102280701753,-0.7220696491228069,-0.06399319298245613,0.510476,58.939812,0.0
494,-0.4279439649122807,-0.7982306315789472,0.01130443859649123,0.530522,57.303326,0.0
495,0.38054762068965525,-0.7851565689655172,-0.5597071206896551,0.550142,55.66684,0.0
496,0.44815838596491225,-0.6518967017543859,-0.5968587368421052,0.569338,62.02305,0.0
497,0.5448268771929824,-0.6301280350877193,-0.5236979649122807,0.58811,71.023721,0.0
498,0.49279894736842106,-0.7069718596491228,-0.48575789473684217,0.606457,80.024393,0.0
499,0.47090068965517246,-0.7476699137931033,-0.4806389137931035,0.624091,89.025065,0.0
500,0.5622207368421052,-0.713560701754386,-0.398539947368421,0.639982,98.025736,0.0
501,0.5526934210526316,-0.7289066842105264,-0.39646105263157894,0.654116,107.026408,0.0
502,0.5789585172413794,-0.691043724137931,-0.42682151724137934,0.667242,116.027079,0.0
503,0.5788598421052632,-0.6845379649122807,-0.4380865263157895,0.680368,125.027751,0.0
504,0.5777847719298246,-0.683159543859649,-0.44013708771929827,0.693484,134.028423,0.0
505,0.5938159298245614,-0.6761303508771929,-0.43189708771929824,0.706582,143.029094,0.0
506,0.5995726491228069,-0.6740294561403508,-0.4253994912280702,0.719656,152.029766,0.0
507,0.5920281754385965,-0.6744914385964912,-0.4355021754385965,0.732695,161.030438,0.0
508,0.5944476551724139,-0.673845724137931,-0.43172900000000003,0.744678,170.031109,0.0
509,0.592041298245614,-0.6741806842105263,-0.4351076140350877,0.755615,179.031781,0.0
510,0.5899540175438596,-0.673899052631579,-0.4388668947368421,0.765519,188.032452,0.0
511,0.5897417368421053,-0.6740631403508772,-0.4391200350877193,0.774402,188.21037,0.0
512,0.5332270344827587,-0.7164271896551725,-0.43713046551724133,0.783648,185.34652,0.0
513,0.3745464736842105,-0.7623081929824561,-0.5359307719298246,0.793242,182.48267,0.0
514,0.11236673684210527,-0.6071983333333334,-0.7407620701754386,0.803169,179.618819,0.0
515,-0.2082026666666667,-0.4115638070175439,-0.8390484561403508,0.813934,176.754969,0.0
516,0.11580343103448276,-0.7451695344827585,-0.5566711379310345,0.825531,173.891119,0.0
517,0.14881736842105264,-0.8022805789473684,-0.6520996666666667,0.837041,171.027269,0.0
518,0.22590101754385963,-0.7746223157894737,-0.5872933333333333,0.848478,168.163419,0.0
